jobName,city,companyName,companyDesc,workTime,studyTime,jobUrl,companyUrl,companyDomain,rongzi
资深游戏策划,15k-30k,深圳,萌蛋互动,,经验3-5年,本科,https://www.lagou.com/jobs/3987313.html,https://www.lagou.com/gongsi/64766.html,游戏
游戏策划,4k-8k,珠海,心游科技,,经验不限,本科,https://www.lagou.com/jobs/737243.html,https://www.lagou.com/gongsi/3574.html,"移动互联网,游戏"
游戏策划,6k-12k,上海,上海展盟,,经验1-3年,本科,https://www.lagou.com/jobs/3791493.html,https://www.lagou.com/gongsi/175503.html,移动互联网
游戏策划师,10k-20k,深圳,GALASPORTS,,经验3-5年,本科,https://www.lagou.com/jobs/3234254.html,https://www.lagou.com/gongsi/131507.html,"游戏,移动互联网"
游戏策划-数值,8k-15k,上海,蜂果网络,,经验1-3年,不限,https://www.lagou.com/jobs/3788357.html,https://www.lagou.com/gongsi/58442.html,游戏
游戏策划,3k-5k,长沙,蘑菇侠,,经验1年以下,本科,https://www.lagou.com/jobs/3835943.html,https://www.lagou.com/gongsi/282080.html,"游戏,移动互联网"
游戏策划,5k-8k,南京,江苏名通,,经验1年以下,本科,https://www.lagou.com/jobs/3978054.html,https://www.lagou.com/gongsi/170726.html,"游戏,移动互联网"
游戏策划,8k-16k,深圳,编程猫,,经验不限,本科,https://www.lagou.com/jobs/3896894.html,https://www.lagou.com/gongsi/68524.html,"移动互联网,教育"
游戏策划,8k-16k,广州,舜飞科技,,经验3-5年,大专,https://www.lagou.com/jobs/3706246.html,https://www.lagou.com/gongsi/5806.html,移动互联网
游戏策划,10k-20k,杭州,网易游戏,,经验不限,本科,https://www.lagou.com/jobs/3405674.html,https://www.lagou.com/gongsi/22790.html,游戏
游戏策划-数值,13k-20k,北京,盖娅互娱,,经验1-3年,本科,https://www.lagou.com/jobs/859081.html,https://www.lagou.com/gongsi/40618.html,"移动互联网,游戏"
手机游戏策划,4k-8k,苏州,苏州天魂网络,,经验不限,大专,https://www.lagou.com/jobs/3992284.html,https://www.lagou.com/gongsi/8464.html,游戏
游戏策划总监,13K-25K,武汉,微派,,经验3-5年,本科,https://www.lagou.com/jobs/3524012.html,https://www.lagou.com/gongsi/34205.html,社交网络
游戏策划,20k-40k,北京,畅聊天下,,经验3-5年,大专,https://www.lagou.com/jobs/3909431.html,https://www.lagou.com/gongsi/7292.html,移动互联网
游戏策划,10k-18k,深圳,范特西,,经验3-5年,大专,https://www.lagou.com/jobs/3883829.html,https://www.lagou.com/gongsi/54179.html,游戏
手机游戏策划,5k-7k,武汉,悠然一指,,经验1-3年,大专,https://www.lagou.com/jobs/3575844.html,https://www.lagou.com/gongsi/148027.html,"移动互联网,社交网络"
游戏策划专员,4k-6k,武汉,武汉哈乐沃德,,经验1年以下,本科,https://www.lagou.com/jobs/3930671.html,https://www.lagou.com/gongsi/41951.html,"游戏,数据服务"
手机游戏策划,8k-15k,武汉,多比特,,经验1-3年,本科,https://www.lagou.com/jobs/3202270.html,https://www.lagou.com/gongsi/142081.html,"移动互联网,文化娱乐"
游戏策划 - 关卡玩法方向,10k-20k,成都,91Act,,经验3-5年,本科,https://www.lagou.com/jobs/2914028.html,https://www.lagou.com/gongsi/123505.html,游戏
游戏策划师（休闲游戏）,5k-10k,武汉,酷游互动,,经验1-3年,大专,https://www.lagou.com/jobs/2939116.html,https://www.lagou.com/gongsi/182133.html,游戏
